"ID","Sex","BirthYear","Status","DeathYear","Year","PopSize","Age","Weight","Survival","UniqueExtractionID","SampleYear","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person"
6948,"F",2008,"Dead",2016,2015,513,7,21.25,0,3564,2015,74,"F","0",1.34328058831699,"17-Aug-15","25-Aug-15",2,300,0,1400,0,0,0,2,"JGP"
6950,"F",2008,"Dead",2009,2008,567,0,10.1,0,1057,2008,22,"H","0",1.61741873361169,"06-Aug-08","23-Aug-08",1.5,300,NA,4400,0,0,0,2,"JGP"
6955,"M",2008,"Dead",2009,2008,567,0,14.1,0,1327,2008,28,"A","0",1.59407008992324,"13-Aug-08","28-Aug-08",1.5,300,NA,1500,0,0,0,2,"JGP"
6956,"F",2008,"Dead",2009,2008,567,0,13.9,0,1622,2008,34,"C","0",1.74702241468348,"13-Aug-08","28-Aug-08",1,200,NA,1200,0,0,0,2,"JGP"
6957,"M",2008,"Alive",NA,2008,567,0,15.3,1,1239,2008,26,"H","0",1.78382433519768,"06-Aug-08","23-Aug-08",1.5,400,NA,3500,0,0,0,2,"JGP"
6957,"M",2008,"Alive",NA,2011,649,3,29.2,1,3188,2011,66,"B","0",1.89834394441865,"13-Aug-11","30-Aug-11",2,100,NA,1400,0,0,0,2,"JGP"
6957,"M",2008,"Alive",NA,2012,362,4,31.4,1,639,2012,14,"E","0",1.49742628987902,"16-Aug-12","03-Sep-12",1.5,0,NA,100,0,0,0,2,"JGP"
6957,"M",2008,"Alive",NA,2016,444,8,35.85,1,2778,2016,58,"B","0",1.28875648924152,"14-Aug-16","30-Aug-16",3,100,0,600,0,0,0,2,"JGP"
6958,"F",2008,"Dead",2018,2009,617,1,18.2,1,127,2009,3,"H","0",1.27504356717569,"12-Aug-09","30-Aug-09",1,100,NA,600,0,0,0,2,"JGP"
6958,"F",2008,"Dead",2018,2012,362,4,21.1,1,882,2012,19,"C","0",1.36512775720244,"14-Aug-12","29-Aug-12",1.5,0,NA,1700,0,0,0,2,"JGP"
6958,"F",2008,"Dead",2018,2015,513,7,20.95,1,3206,2015,66,"D","0",1.73133692437338,"07-Aug-15","23-Aug-15",2,0,0,400,0,0,0,2,"JGP"
6966,"M",2008,"Dead",2008,2008,567,0,13.1,0,1650,2008,35,"H","0",1.88557851664017,"06-Aug-08","22-Aug-08",1,300,NA,2400,900,0,0,2,"JGP"
6967,"F",2008,"Alive",NA,2011,649,3,24.9,1,3763,2011,78,"G","0",1.52002175265569,"11-Aug-11","29-Aug-11",2,0,NA,400,0,0,0,2,"JGP"
6967,"F",2008,"Alive",NA,2012,362,4,27.1,1,689,2012,15,"H","0",1.27213333958614,"16-Aug-12","03-Sep-12",2,0,NA,0,0,0,0,2,"JGP"
6967,"F",2008,"Alive",NA,2013,545,5,27.6,1,1928,2013,81,"D","0",1.7879949098876,"15-Aug-13","03-Sep-13",2,0,NA,300,0,0,0,2,"JGP"
6967,"F",2008,"Alive",NA,2014,482,6,26.1,1,2919,2014,82,"E","0",1.33959520278197,"09-Aug-14","28-Aug-14",2,0,NA,200,0,0,0,1,"JGP"
6967,"F",2008,"Alive",NA,2016,444,8,28.15,1,4128,2016,87,"G","0",1.97290264440022,"14-Aug-16","30-Aug-16",2,0,0,100,0,0,0,2,"JGP"
6969,"F",2008,"Alive",NA,2009,617,1,20,1,687,2009,15,"F","0",1.73244099677759,"12-Aug-09","28-Aug-09",2,0,NA,1200,0,0,0,2,"JGP"
6969,"F",2008,"Alive",NA,2010,672,2,19.7,1,1964,2010,41,"D","0",1.47206155883211,"10-Aug-10","28-Aug-10",1,0,NA,1400,0,0,100,2,"JGP"
6969,"F",2008,"Alive",NA,2011,649,3,21.6,1,3026,2011,63,"G","0",2.17910035386618,"11-Aug-11","29-Aug-11",1.5,100,NA,2600,0,0,0,2,"JGP"
6969,"F",2008,"Alive",NA,2013,545,5,24.2,1,1401,2013,30,"D","0",1.85409478263193,"14-Aug-13","29-Aug-13",1.5,0,NA,500,0,0,0,2,"JGP"
6969,"F",2008,"Alive",NA,2015,513,7,24.1,1,3184,2015,66,"F","0",1.05896924586347,"07-Aug-15","23-Aug-15",3,100,100,800,0,0,0,2,"JGP"
6969,"F",2008,"Alive",NA,2016,444,8,26.75,1,2460,2016,51,"A","0",1.79992508151557,"14-Aug-16","30-Aug-16",2,100,100,200,0,0,0,2,"JGP"
6970,"M",2008,"Dead",2010,2009,617,1,22.2,0,501,2009,11,"B","0",1.71192483552418,"13-Aug-09","31-Aug-09",1.5,400,NA,200,0,0,0,2,"JGP"
